day,medal_date,medal_type,name,country_code,gender,discipline,event,event_type,url_event
5,31-07-2024,Bronze Medal,Caspar CORBEAU,NED,M,Swimming,Men's 200m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-200m-breaststroke/fnl-000100--
5,31-07-2024,Gold Medal,Leon MARCHAND,FRA,M,Swimming,Men's 200m Butterfly,ATH,/en/paris-2024/results/swimming/men-s-200m-butterfly/fnl-000100--
5,31-07-2024,Silver Medal,Kristof MILAK,HUN,M,Swimming,Men's 200m Butterfly,ATH,/en/paris-2024/results/swimming/men-s-200m-butterfly/fnl-000100--
5,31-07-2024,Bronze Medal,Ilya KHARUN,CAN,M,Swimming,Men's 200m Butterfly,ATH,/en/paris-2024/results/swimming/men-s-200m-butterfly/fnl-000100--
5,31-07-2024,Gold Medal,Sarah SJOESTROEM,SWE,W,Swimming,Women's 100m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-100m-freestyle/fnl-000100--
5,31-07-2024,Silver Medal,Torri HUSKE,USA,W,Swimming,Women's 100m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-100m-freestyle/fnl-000100--
5,31-07-2024,Bronze Medal,HAUGHEY Siobhan Bernadette,HKG,W,Swimming,Women's 100m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-100m-freestyle/fnl-000100--
5,31-07-2024,Gold Medal,Katie LEDECKY,USA,W,Swimming,Women's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-1500m-freestyle/fnl-000100--
5,31-07-2024,Silver Medal,Anastasiia KIRPICHNIKOVA,FRA,W,Swimming,Women's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-1500m-freestyle/fnl-000100--
5,31-07-2024,Bronze Medal,Isabel GOSE,GER,W,Swimming,Women's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-1500m-freestyle/fnl-000100--
5,31-07-2024,Gold Medal,Alex YEE,GBR,M,Triathlon,Men's Individual,ATH,/en/paris-2024/results/triathlon/men-s-individual/fnl-000100--
5,31-07-2024,Silver Medal,Hayden WILDE,NZL,M,Triathlon,Men's Individual,ATH,/en/paris-2024/results/triathlon/men-s-individual/fnl-000100--
5,31-07-2024,Bronze Medal,Leo BERGERE,FRA,M,Triathlon,Men's Individual,ATH,/en/paris-2024/results/triathlon/men-s-individual/fnl-000100--
5,31-07-2024,Gold Medal,Cassandre BEAUGRAND,FRA,W,Triathlon,Women's Individual,ATH,/en/paris-2024/results/triathlon/women-s-individual/fnl-000100--
5,31-07-2024,Silver Medal,Julie DERRON,SUI,W,Triathlon,Women's Individual,ATH,/en/paris-2024/results/triathlon/women-s-individual/fnl-000100--
5,31-07-2024,Bronze Medal,Beth POTTER,GBR,W,Triathlon,Women's Individual,ATH,/en/paris-2024/results/triathlon/women-s-individual/fnl-000100--
6,01-08-2024,Gold Medal,Simone BILES,USA,W,Artistic Gymnastics,Women's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-all-around/fnl-000001--
6,01-08-2024,Silver Medal,Rebeca ANDRADE,BRA,W,Artistic Gymnastics,Women's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-all-around/fnl-000001--
6,01-08-2024,Bronze Medal,Sunisa LEE,USA,W,Artistic Gymnastics,Women's All-Around,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-all-around/fnl-000001--
6,01-08-2024,Gold Medal,Brian Daniel PINTADO,ECU,M,Athletics,Men's 20km Race Walk,ATH,/en/paris-2024/results/athletics/men-s-20km-race-walk/fnl-000100--
6,01-08-2024,Silver Medal,Caio BONFIM,BRA,M,Athletics,Men's 20km Race Walk,ATH,/en/paris-2024/results/athletics/men-s-20km-race-walk/fnl-000100--
6,01-08-2024,Bronze Medal,Alvaro MARTIN,ESP,M,Athletics,Men's 20km Race Walk,ATH,/en/paris-2024/results/athletics/men-s-20km-race-walk/fnl-000100--
6,01-08-2024,Gold Medal,YANG Jiayu,CHN,W,Athletics,Women's 20km Race Walk,ATH,/en/paris-2024/results/athletics/women-s-20km-race-walk/fnl-000100--
6,01-08-2024,Silver Medal,Maria PEREZ,ESP,W,Athletics,Women's 20km Race Walk,ATH,/en/paris-2024/results/athletics/women-s-20km-race-walk/fnl-000100--
6,01-08-2024,Bronze Medal,Jemima MONTAG,AUS,W,Athletics,Women's 20km Race Walk,ATH,/en/paris-2024/results/athletics/women-s-20km-race-walk/fnl-000100--
6,01-08-2024,Gold Medal,Giovanni de GENNARO,ITA,M,Canoe Slalom,Men's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--
6,01-08-2024,Silver Medal,Titouan CASTRYCK,FRA,M,Canoe Slalom,Men's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--
6,01-08-2024,Bronze Medal,Pau ECHANIZ,ESP,M,Canoe Slalom,Men's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-kayak-single/fnl-000100--
6,01-08-2024,Gold Medal,United States,USA,W,Fencing,Women's Foil Team,HTEAM,/en/paris-2024/results/fencing/women-s-foil-team/fnl-000100--
6,01-08-2024,Silver Medal,Italy,ITA,W,Fencing,Women's Foil Team,HTEAM,/en/paris-2024/results/fencing/women-s-foil-team/fnl-000100--
6,01-08-2024,Bronze Medal,Japan,JPN,W,Fencing,Women's Foil Team,HTEAM,/en/paris-2024/results/fencing/women-s-foil-team/fnl-000200--
6,01-08-2024,Gold Medal,Zelym KOTSOIEV,AZE,M,Judo,Men -100 kg,HATH,/en/paris-2024/results/judo/men--100-kg/fnl-000100--
6,01-08-2024,Silver Medal,Ilia SULAMANIDZE,GEO,M,Judo,Men -100 kg,HATH,/en/paris-2024/results/judo/men--100-kg/fnl-000100--
6,01-08-2024,Bronze Medal,Peter PALTCHIK,ISR,M,Judo,Men -100 kg,HATH,/en/paris-2024/results/judo/men--100-kg/repf000100--
6,01-08-2024,Bronze Medal,Muzaffarbek TUROBOYEV,UZB,M,Judo,Men -100 kg,HATH,/en/paris-2024/results/judo/men--100-kg/repf000200--
