day,medal_date,medal_type,name,country_code,gender,discipline,event,event_type,url_event
7,02-08-2024,Gold Medal,Cameron McEVOY,AUS,M,Swimming,Men's 50m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-50m-freestyle/fnl-000100--
7,02-08-2024,Silver Medal,Benjamin PROUD,GBR,M,Swimming,Men's 50m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-50m-freestyle/fnl-000100--
7,02-08-2024,Bronze Medal,Florent MANAUDOU,FRA,M,Swimming,Men's 50m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-50m-freestyle/fnl-000100--
7,02-08-2024,Gold Medal,Kaylee McKEOWN,AUS,W,Swimming,Women's 200m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-200m-backstroke/fnl-000100--
7,02-08-2024,Silver Medal,Regan SMITH,USA,W,Swimming,Women's 200m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-200m-backstroke/fnl-000100--
7,02-08-2024,Bronze Medal,Kylie MASSE,CAN,W,Swimming,Women's 200m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-200m-backstroke/fnl-000100--
7,02-08-2024,Gold Medal,SINIAKOVA/MACHAC,CZE,X,Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/tennis/mixed-doubles/fnl-000100--
7,02-08-2024,Silver Medal,WANG/ZHANG,CHN,X,Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/tennis/mixed-doubles/fnl-000100--
7,02-08-2024,Bronze Medal,DABROWSKI/AUGER-ALIAS,CAN,X,Tennis,Mixed Doubles,HCOUP,/en/paris-2024/results/tennis/mixed-doubles/fnl-000200--
7,02-08-2024,Bronze Medal,Iga SWIATEK,POL,W,Tennis,Women's Singles,HATH,/en/paris-2024/results/tennis/women-s-singles/fnl-000200--
7,02-08-2024,Gold Medal,Ivan LITVINOVICH,AIN,M,Trampoline Gymnastics,Men,ATH,/en/paris-2024/results/trampoline-gymnastics/men/fnl-000001--
7,02-08-2024,Silver Medal,WANG Zisai,CHN,M,Trampoline Gymnastics,Men,ATH,/en/paris-2024/results/trampoline-gymnastics/men/fnl-000001--
7,02-08-2024,Bronze Medal,YAN Langyu,CHN,M,Trampoline Gymnastics,Men,ATH,/en/paris-2024/results/trampoline-gymnastics/men/fnl-000001--
7,02-08-2024,Gold Medal,Bryony PAGE,GBR,W,Trampoline Gymnastics,Women,ATH,/en/paris-2024/results/trampoline-gymnastics/women/fnl-000001--
7,02-08-2024,Silver Medal,Viyaleta BARDZILOUSKAYA,AIN,W,Trampoline Gymnastics,Women,ATH,/en/paris-2024/results/trampoline-gymnastics/women/fnl-000001--
7,02-08-2024,Bronze Medal,Sophiane METHOT,CAN,W,Trampoline Gymnastics,Women,ATH,/en/paris-2024/results/trampoline-gymnastics/women/fnl-000001--
8,03-08-2024,Gold Medal,LIM Sihyeon,KOR,W,Archery,Women's Individual,HATH,/en/paris-2024/results/archery/women-s-individual/fnl-000100--
8,03-08-2024,Silver Medal,NAM Suhyeon,KOR,W,Archery,Women's Individual,HATH,/en/paris-2024/results/archery/women-s-individual/fnl-000100--
8,03-08-2024,Bronze Medal,Lisa BARBELIN,FRA,W,Archery,Women's Individual,HATH,/en/paris-2024/results/archery/women-s-individual/fnl-000200--
8,03-08-2024,Gold Medal,Carlos Edriel YULO,PHI,M,Artistic Gymnastics,Men's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-floor-exercise/fnl-000001--
8,03-08-2024,Silver Medal,Artem DOLGOPYAT,ISR,M,Artistic Gymnastics,Men's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-floor-exercise/fnl-000001--
8,03-08-2024,Bronze Medal,Jake JARMAN,GBR,M,Artistic Gymnastics,Men's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-floor-exercise/fnl-000001--
8,03-08-2024,Gold Medal,Rhys MC CLENAGHAN,IRL,M,Artistic Gymnastics,Men's Pommel Horse,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-pommel-horse/fnl-000001--
8,03-08-2024,Silver Medal,Nariman KURBANOV,KAZ,M,Artistic Gymnastics,Men's Pommel Horse,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-pommel-horse/fnl-000001--
8,03-08-2024,Bronze Medal,Stephen NEDOROSCIK,USA,M,Artistic Gymnastics,Men's Pommel Horse,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-pommel-horse/fnl-000001--
8,03-08-2024,Gold Medal,Simone BILES,USA,W,Artistic Gymnastics,Women's Vault,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-vault/fnl-000001--
8,03-08-2024,Silver Medal,Rebeca ANDRADE,BRA,W,Artistic Gymnastics,Women's Vault,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-vault/fnl-000001--
8,03-08-2024,Bronze Medal,Jade CAREY,USA,W,Artistic Gymnastics,Women's Vault,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-vault/fnl-000001--
8,03-08-2024,Gold Medal,Netherlands,NED,X,Athletics,4 x 400m Relay Mixed,TEAM,/en/paris-2024/results/athletics/4-x-400m-relay-mixed/fnl-000100--
8,03-08-2024,Silver Medal,United States,USA,X,Athletics,4 x 400m Relay Mixed,TEAM,/en/paris-2024/results/athletics/4-x-400m-relay-mixed/fnl-000100--
8,03-08-2024,Bronze Medal,Great Britain,GBR,X,Athletics,4 x 400m Relay Mixed,TEAM,/en/paris-2024/results/athletics/4-x-400m-relay-mixed/fnl-000100--
8,03-08-2024,Gold Medal,Markus ROOTH,NOR,M,Athletics,Men's Decathlon,ATH,/en/paris-2024/results/athletics/men-s-decathlon/1500--------
8,03-08-2024,Silver Medal,Leo NEUGEBAUER,GER,M,Athletics,Men's Decathlon,ATH,/en/paris-2024/results/athletics/men-s-decathlon/1500--------
8,03-08-2024,Bronze Medal,Lindon VICTOR,GRN,M,Athletics,Men's Decathlon,ATH,/en/paris-2024/results/athletics/men-s-decathlon/1500--------
8,03-08-2024,Gold Medal,Ryan CROUSER,USA,M,Athletics,Men's Shot Put,ATH,/en/paris-2024/results/athletics/men-s-shot-put/fnl-000100--
8,03-08-2024,Silver Medal,Joe KOVACS,USA,M,Athletics,Men's Shot Put,ATH,/en/paris-2024/results/athletics/men-s-shot-put/fnl-000100--
8,03-08-2024,Bronze Medal,Rajindra CAMPBELL,JAM,M,Athletics,Men's Shot Put,ATH,/en/paris-2024/results/athletics/men-s-shot-put/fnl-000100--
8,03-08-2024,Gold Medal,Julien ALFRED,LCA,W,Athletics,Women's 100m,ATH,/en/paris-2024/results/athletics/women-s-100m/fnl-000100--
8,03-08-2024,Silver Medal,Sha'carri RICHARDSON,USA,W,Athletics,Women's 100m,ATH,/en/paris-2024/results/athletics/women-s-100m/fnl-000100--
8,03-08-2024,Bronze Medal,Melissa JEFFERSON,USA,W,Athletics,Women's 100m,ATH,/en/paris-2024/results/athletics/women-s-100m/fnl-000100--
8,03-08-2024,Gold Medal,Thea LAFOND,DMA,W,Athletics,Women's Triple Jump,ATH,/en/paris-2024/results/athletics/women-s-triple-jump/fnl-000100--
8,03-08-2024,Silver Medal,Shanieka RICKETTS,JAM,W,Athletics,Women's Triple Jump,ATH,/en/paris-2024/results/athletics/women-s-triple-jump/fnl-000100--
8,03-08-2024,Bronze Medal,Jasmine MOORE,USA,W,Athletics,Women's Triple Jump,ATH,/en/paris-2024/results/athletics/women-s-triple-jump/fnl-000100--
8,03-08-2024,Gold Medal,CHEN/JIA,CHN,W,Badminton,Women's Doubles,HCOUP,/en/paris-2024/results/badminton/women-s-doubles/fnl-000100--
8,03-08-2024,Silver Medal,LIU/TAN,CHN,W,Badminton,Women's Doubles,HCOUP,/en/paris-2024/results/badminton/women-s-doubles/fnl-000100--
8,03-08-2024,Bronze Medal,MATSUYAMA/SHIDA,JPN,W,Badminton,Women's Doubles,HCOUP,/en/paris-2024/results/badminton/women-s-doubles/fnl-000200--
8,03-08-2024,Bronze Medal,WU Shih Yi,TPE,W,Boxing,Women's 60kg,HATH,/en/paris-2024/results/boxing/women-s-60kg/sfnl000100--
8,03-08-2024,Bronze Medal,Beatriz Iasmin SOARES FERREIRA,BRA,W,Boxing,Women's 60kg,HATH,/en/paris-2024/results/boxing/women-s-60kg/sfnl000200--
8,03-08-2024,Gold Medal,Remco EVENEPOEL,BEL,M,Cycling Road,Men's Road Race,ATH,/en/paris-2024/results/cycling-road/men-s-road-race/fnl-000100--
8,03-08-2024,Silver Medal,Valentin MADOUAS,FRA,M,Cycling Road,Men's Road Race,ATH,/en/paris-2024/results/cycling-road/men-s-road-race/fnl-000100--
8,03-08-2024,Bronze Medal,Christophe LAPORTE,FRA,M,Cycling Road,Men's Road Race,ATH,/en/paris-2024/results/cycling-road/men-s-road-race/fnl-000100--
8,03-08-2024,Gold Medal,Germany,GER,O,Equestrian,Dressage Team,TEAM,/en/paris-2024/results/equestrian/dressage-team/gpsp000100--
8,03-08-2024,Silver Medal,Denmark,DEN,O,Equestrian,Dressage Team,TEAM,/en/paris-2024/results/equestrian/dressage-team/gpsp000100--
8,03-08-2024,Bronze Medal,Great Britain,GBR,O,Equestrian,Dressage Team,TEAM,/en/paris-2024/results/equestrian/dressage-team/gpsp000100--
8,03-08-2024,Gold Medal,Ukraine,UKR,W,Fencing,Women's Sabre Team,HTEAM,/en/paris-2024/results/fencing/women-s-sabre-team/fnl-000100--
8,03-08-2024,Silver Medal,Korea,KOR,W,Fencing,Women's Sabre Team,HTEAM,/en/paris-2024/results/fencing/women-s-sabre-team/fnl-000100--
8,03-08-2024,Bronze Medal,Japan,JPN,W,Fencing,Women's Sabre Team,HTEAM,/en/paris-2024/results/fencing/women-s-sabre-team/fnl-000200--
8,03-08-2024,Gold Medal,France,FRA,X,Judo,Mixed Team,HTEAM,/en/paris-2024/results/judo/mixed-team/fnl-00010000
8,03-08-2024,Silver Medal,Japan,JPN,X,Judo,Mixed Team,HTEAM,/en/paris-2024/results/judo/mixed-team/fnl-00010000
8,03-08-2024,Bronze Medal,Brazil,BRA,X,Judo,Mixed Team,HTEAM,/en/paris-2024/results/judo/mixed-team/repf00010000
8,03-08-2024,Bronze Medal,Korea,KOR,X,Judo,Mixed Team,HTEAM,/en/paris-2024/results/judo/mixed-team/repf00020000
8,03-08-2024,Gold Medal,Great Britain,GBR,M,Rowing,Men's Eight,TEAM,/en/paris-2024/results/rowing/men-s-eight/fnl---------
8,03-08-2024,Silver Medal,Netherlands,NED,M,Rowing,Men's Eight,TEAM,/en/paris-2024/results/rowing/men-s-eight/fnl---------
8,03-08-2024,Bronze Medal,United States,USA,M,Rowing,Men's Eight,TEAM,/en/paris-2024/results/rowing/men-s-eight/fnl---------
8,03-08-2024,Gold Medal,Oliver ZEIDLER,GER,M,Rowing,Men's Single Sculls,ATH,/en/paris-2024/results/rowing/men-s-single-sculls/fnl---------
8,03-08-2024,Silver Medal,Yauheni ZALATY,AIN,M,Rowing,Men's Single Sculls,ATH,/en/paris-2024/results/rowing/men-s-single-sculls/fnl---------
8,03-08-2024,Bronze Medal,Simon van DORP,NED,M,Rowing,Men's Single Sculls,ATH,/en/paris-2024/results/rowing/men-s-single-sculls/fnl---------
8,03-08-2024,Gold Medal,Romania,ROU,W,Rowing,Women's Eight,TEAM,/en/paris-2024/results/rowing/women-s-eight/fnl---------
8,03-08-2024,Silver Medal,Canada,CAN,W,Rowing,Women's Eight,TEAM,/en/paris-2024/results/rowing/women-s-eight/fnl---------
8,03-08-2024,Bronze Medal,Great Britain,GBR,W,Rowing,Women's Eight,TEAM,/en/paris-2024/results/rowing/women-s-eight/fnl---------
8,03-08-2024,Gold Medal,Karolien FLORIJN,NED,W,Rowing,Women's Single Sculls,ATH,/en/paris-2024/results/rowing/women-s-single-sculls/fnl---------
8,03-08-2024,Silver Medal,Emma TWIGG,NZL,W,Rowing,Women's Single Sculls,ATH,/en/paris-2024/results/rowing/women-s-single-sculls/fnl---------
8,03-08-2024,Bronze Medal,Viktorija SENKUTE,LTU,W,Rowing,Women's Single Sculls,ATH,/en/paris-2024/results/rowing/women-s-single-sculls/fnl---------
8,03-08-2024,Gold Medal,Tom REUVENY,ISR,M,Sailing,Men's Windsurfing,ATH,/en/paris-2024/results/sailing/men-s-windsurfing/fnl-000100--
8,03-08-2024,Silver Medal,Grae MORRIS,AUS,M,Sailing,Men's Windsurfing,ATH,/en/paris-2024/results/sailing/men-s-windsurfing/fnl-000100--
8,03-08-2024,Bronze Medal,Luuc van OPZEELAND,NED,M,Sailing,Men's Windsurfing,ATH,/en/paris-2024/results/sailing/men-s-windsurfing/fnl-000100--
8,03-08-2024,Gold Medal,Marta MAGGETTI,ITA,W,Sailing,Women's Windsurfing,ATH,/en/paris-2024/results/sailing/women-s-windsurfing/fnl-000100--
8,03-08-2024,Silver Medal,Sharon KANTOR,ISR,W,Sailing,Women's Windsurfing,ATH,/en/paris-2024/results/sailing/women-s-windsurfing/fnl-000100--
8,03-08-2024,Bronze Medal,Emma WILSON,GBR,W,Sailing,Women's Windsurfing,ATH,/en/paris-2024/results/sailing/women-s-windsurfing/fnl-000100--
8,03-08-2024,Gold Medal,YANG Jiin,KOR,W,Shooting,25m Pistol Women,ATH,/en/paris-2024/results/shooting/25m-pistol-women/fnl-000100--
8,03-08-2024,Silver Medal,Camille JEDRZEJEWSKI,FRA,W,Shooting,25m Pistol Women,ATH,/en/paris-2024/results/shooting/25m-pistol-women/fnl-000100--
8,03-08-2024,Bronze Medal,Veronika MAJOR,HUN,W,Shooting,25m Pistol Women,ATH,/en/paris-2024/results/shooting/25m-pistol-women/fnl-000100--
8,03-08-2024,Gold Medal,Vincent HANCOCK,USA,M,Shooting,Skeet Men,ATH,/en/paris-2024/results/shooting/skeet-men/fnl-000100--
8,03-08-2024,Silver Medal,Conner Lynn PRINCE,USA,M,Shooting,Skeet Men,ATH,/en/paris-2024/results/shooting/skeet-men/fnl-000100--
8,03-08-2024,Bronze Medal,LEE Meng Yuan,TPE,M,Shooting,Skeet Men,ATH,/en/paris-2024/results/shooting/skeet-men/fnl-000100--
8,03-08-2024,Gold Medal,Kristof MILAK,HUN,M,Swimming,Men's 100m Butterfly,ATH,/en/paris-2024/results/swimming/men-s-100m-butterfly/fnl-000100--
8,03-08-2024,Silver Medal,Josh LIENDO,CAN,M,Swimming,Men's 100m Butterfly,ATH,/en/paris-2024/results/swimming/men-s-100m-butterfly/fnl-000100--
8,03-08-2024,Bronze Medal,Ilya KHARUN,CAN,M,Swimming,Men's 100m Butterfly,ATH,/en/paris-2024/results/swimming/men-s-100m-butterfly/fnl-000100--
8,03-08-2024,Gold Medal,United States,USA,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/mixed-4-x-100m-medley-relay/fnl-000100--
8,03-08-2024,Silver Medal,China,CHN,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/mixed-4-x-100m-medley-relay/fnl-000100--
8,03-08-2024,Bronze Medal,Australia,AUS,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/mixed-4-x-100m-medley-relay/fnl-000100--
8,03-08-2024,Gold Medal,Summer McINTOSH,CAN,W,Swimming,Women's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-200m-individual-medley/fnl-000100--
8,03-08-2024,Silver Medal,Kate DOUGLASS,USA,W,Swimming,Women's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-200m-individual-medley/fnl-000100--
8,03-08-2024,Bronze Medal,Kaylee McKEOWN,AUS,W,Swimming,Women's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-200m-individual-medley/fnl-000100--
8,03-08-2024,Gold Medal,Katie LEDECKY,USA,W,Swimming,Women's 800m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-800m-freestyle/fnl-000100--
8,03-08-2024,Silver Medal,Ariarne TITMUS,AUS,W,Swimming,Women's 800m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-800m-freestyle/fnl-000100--
8,03-08-2024,Bronze Medal,Paige MADDEN,USA,W,Swimming,Women's 800m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-800m-freestyle/fnl-000100--
8,03-08-2024,Gold Medal,CHEN Meng,CHN,W,Table Tennis,Women's Singles,HATH,/en/paris-2024/results/table-tennis/women-s-singles/fnl-000100--
8,03-08-2024,Silver Medal,SUN Yingsha,CHN,W,Table Tennis,Women's Singles,HATH,/en/paris-2024/results/table-tennis/women-s-singles/fnl-000100--
8,03-08-2024,Bronze Medal,Hina HAYATA,JPN,W,Table Tennis,Women's Singles,HATH,/en/paris-2024/results/table-tennis/women-s-singles/fnl-000200--
8,03-08-2024,Gold Medal,EBDEN/PEERS,AUS,M,Tennis,Men's Doubles,HCOUP,/en/paris-2024/results/tennis/men-s-doubles/fnl-000100--
8,03-08-2024,Silver Medal,KRAJICEK/RAM,USA,M,Tennis,Men's Doubles,HCOUP,/en/paris-2024/results/tennis/men-s-doubles/fnl-000100--
8,03-08-2024,Bronze Medal,FRITZ/PAUL,USA,M,Tennis,Men's Doubles,HCOUP,/en/paris-2024/results/tennis/men-s-doubles/fnl-000200--
8,03-08-2024,Bronze Medal,Lorenzo MUSETTI,ITA,M,Tennis,Men's Singles,HATH,/en/paris-2024/results/tennis/men-s-singles/fnl-000200--
8,03-08-2024,Gold Medal,ZHENG Qinwen,CHN,W,Tennis,Women's Singles,HATH,/en/paris-2024/results/tennis/women-s-singles/fnl-000100--
8,03-08-2024,Silver Medal,Donna VEKIC,CRO,W,Tennis,Women's Singles,HATH,/en/paris-2024/results/tennis/women-s-singles/fnl-000100--
9,04-08-2024,Gold Medal,KIM Woojin,KOR,M,Archery,Men's Individual,HATH,/en/paris-2024/results/archery/men-s-individual/fnl-000100--
9,04-08-2024,Silver Medal,Brady ELLISON,USA,M,Archery,Men's Individual,HATH,/en/paris-2024/results/archery/men-s-individual/fnl-000100--
9,04-08-2024,Bronze Medal,LEE Wooseok,KOR,M,Archery,Men's Individual,HATH,/en/paris-2024/results/archery/men-s-individual/fnl-000200--
9,04-08-2024,Gold Medal,LIU Yang,CHN,M,Artistic Gymnastics,Men's Rings,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-rings/fnl-000001--
9,04-08-2024,Silver Medal,ZOU Jingyuan,CHN,M,Artistic Gymnastics,Men's Rings,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-rings/fnl-000001--
9,04-08-2024,Bronze Medal,Eleftherios PETROUNIAS,GRE,M,Artistic Gymnastics,Men's Rings,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-rings/fnl-000001--
9,04-08-2024,Gold Medal,Carlos Edriel YULO,PHI,M,Artistic Gymnastics,Men's Vault,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-vault/fnl-000001--
9,04-08-2024,Silver Medal,Artur DAVTYAN,ARM,M,Artistic Gymnastics,Men's Vault,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-vault/fnl-000001--
9,04-08-2024,Bronze Medal,Harry HEPWORTH,GBR,M,Artistic Gymnastics,Men's Vault,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-vault/fnl-000001--
9,04-08-2024,Gold Medal,Kaylia NEMOUR,ALG,W,Artistic Gymnastics,Women's Uneven Bars,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-uneven-bars/fnl-000001--
9,04-08-2024,Silver Medal,QIU Qiyuan,CHN,W,Artistic Gymnastics,Women's Uneven Bars,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-uneven-bars/fnl-000001--
9,04-08-2024,Bronze Medal,Sunisa LEE,USA,W,Artistic Gymnastics,Women's Uneven Bars,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-uneven-bars/fnl-000001--
9,04-08-2024,Gold Medal,Noah LYLES,USA,M,Athletics,Men's 100m,ATH,/en/paris-2024/results/athletics/men-s-100m/fnl-000100--
9,04-08-2024,Silver Medal,Kishane THOMPSON,JAM,M,Athletics,Men's 100m,ATH,/en/paris-2024/results/athletics/men-s-100m/fnl-000100--
9,04-08-2024,Bronze Medal,Fred KERLEY,USA,M,Athletics,Men's 100m,ATH,/en/paris-2024/results/athletics/men-s-100m/fnl-000100--
9,04-08-2024,Gold Medal,Ethan KATZBERG,CAN,M,Athletics,Men's Hammer Throw,ATH,/en/paris-2024/results/athletics/men-s-hammer-throw/fnl-000100--
9,04-08-2024,Silver Medal,Bence HALASZ,HUN,M,Athletics,Men's Hammer Throw,ATH,/en/paris-2024/results/athletics/men-s-hammer-throw/fnl-000100--
9,04-08-2024,Bronze Medal,Mykhaylo KOKHAN,UKR,M,Athletics,Men's Hammer Throw,ATH,/en/paris-2024/results/athletics/men-s-hammer-throw/fnl-000100--
9,04-08-2024,Gold Medal,Yaroslava MAHUCHIKH,UKR,W,Athletics,Women's High Jump,ATH,/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--
9,04-08-2024,Silver Medal,Nicola OLYSLAGERS,AUS,W,Athletics,Women's High Jump,ATH,/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--
9,04-08-2024,Bronze Medal,Iryna GERASHCHENKO,UKR,W,Athletics,Women's High Jump,ATH,/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--
9,04-08-2024,Bronze Medal,Eleanor PATTERSON,AUS,W,Athletics,Women's High Jump,ATH,/en/paris-2024/results/athletics/women-s-high-jump/fnl-000100--
9,04-08-2024,Gold Medal,LEE/WANG,TPE,M,Badminton,Men's Doubles,HCOUP,/en/paris-2024/results/badminton/men-s-doubles/fnl-000100--
9,04-08-2024,Silver Medal,LIANG/WANG,CHN,M,Badminton,Men's Doubles,HCOUP,/en/paris-2024/results/badminton/men-s-doubles/fnl-000100--
9,04-08-2024,Bronze Medal,CHIA/SOH,MAS,M,Badminton,Men's Doubles,HCOUP,/en/paris-2024/results/badminton/men-s-doubles/fnl-000200--
9,04-08-2024,Bronze Medal,Gregoria Mariska TUNJUNG,INA,W,Badminton,Women's Singles,HATH,/en/paris-2024/results/badminton/women-s-singles/sfnl000100--
9,04-08-2024,Bronze Medal,Yunior ALCANTARA REYES,DOM,M,Boxing,Men's 51kg,HATH,/en/paris-2024/results/boxing/men-s-51kg/sfnl000100--
9,04-08-2024,Bronze Medal,David de PINA,CPV,M,Boxing,Men's 51kg,HATH,/en/paris-2024/results/boxing/men-s-51kg/sfnl000200--
9,04-08-2024,Bronze Medal,Wyatt SANFORD,CAN,M,Boxing,Men's 63.5kg,HATH,/en/paris-2024/results/boxing/men-s-63-5kg/sfnl000100--
9,04-08-2024,Bronze Medal,Lasha GURULI,GEO,M,Boxing,Men's 63.5kg,HATH,/en/paris-2024/results/boxing/men-s-63-5kg/sfnl000200--
9,04-08-2024,Bronze Medal,Cristian Javier PINALES,DOM,M,Boxing,Men's 80kg,HATH,/en/paris-2024/results/boxing/men-s-80kg/sfnl000100--
9,04-08-2024,Bronze Medal,Arlen LOPEZ CARDONA,CUB,M,Boxing,Men's 80kg,HATH,/en/paris-2024/results/boxing/men-s-80kg/sfnl000200--
9,04-08-2024,Bronze Medal,Enmanuel REYES PLA,ESP,M,Boxing,Men's 92kg,HATH,/en/paris-2024/results/boxing/men-s-92kg/sfnl000100--
9,04-08-2024,Bronze Medal,Davlat BOLTAEV,TJK,M,Boxing,Men's 92kg,HATH,/en/paris-2024/results/boxing/men-s-92kg/sfnl000200--
9,04-08-2024,Bronze Medal,PANG Cholmi,PRK,W,Boxing,Women's 54kg,HATH,/en/paris-2024/results/boxing/women-s-54kg/sfnl000100--
9,04-08-2024,Bronze Medal,IM Aeji,KOR,W,Boxing,Women's 54kg,HATH,/en/paris-2024/results/boxing/women-s-54kg/sfnl000200--
9,04-08-2024,Gold Medal,Kristen FAULKNER,USA,W,Cycling Road,Women's Road Race,ATH,/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--
9,04-08-2024,Silver Medal,Marianne VOS,NED,W,Cycling Road,Women's Road Race,ATH,/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--
9,04-08-2024,Bronze Medal,Lotte KOPECKY,BEL,W,Cycling Road,Women's Road Race,ATH,/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--
9,04-08-2024,Gold Medal,Jessica von BREDOW-WERNDL,GER,O,Equestrian,Dressage Individual,ATH,/en/paris-2024/results/equestrian/dressage-individual/gpfr000100--
9,04-08-2024,Silver Medal,Isabell WERTH,GER,O,Equestrian,Dressage Individual,ATH,/en/paris-2024/results/equestrian/dressage-individual/gpfr000100--
9,04-08-2024,Bronze Medal,Charlotte FRY,GBR,O,Equestrian,Dressage Individual,ATH,/en/paris-2024/results/equestrian/dressage-individual/gpfr000100--
9,04-08-2024,Gold Medal,Japan,JPN,M,Fencing,Men's Foil Team,HTEAM,/en/paris-2024/results/fencing/men-s-foil-team/fnl-000100--
9,04-08-2024,Silver Medal,Italy,ITA,M,Fencing,Men's Foil Team,HTEAM,/en/paris-2024/results/fencing/men-s-foil-team/fnl-000100--
9,04-08-2024,Bronze Medal,France,FRA,M,Fencing,Men's Foil Team,HTEAM,/en/paris-2024/results/fencing/men-s-foil-team/fnl-000200--
9,04-08-2024,Gold Medal,Scottie SCHEFFLER,USA,M,Golf,Men's Individual Stroke Play,ATH,/en/paris-2024/results/golf/men-s-individual-stroke-play/fnl---------
9,04-08-2024,Silver Medal,Tommy FLEETWOOD,GBR,M,Golf,Men's Individual Stroke Play,ATH,/en/paris-2024/results/golf/men-s-individual-stroke-play/fnl---------
9,04-08-2024,Bronze Medal,MATSUYAMA Hideki,JPN,M,Golf,Men's Individual Stroke Play,ATH,/en/paris-2024/results/golf/men-s-individual-stroke-play/fnl---------
9,04-08-2024,Gold Medal,Francisca CROVETTO CHADID,CHI,W,Shooting,Skeet Women,ATH,/en/paris-2024/results/shooting/skeet-women/fnl-000100--
9,04-08-2024,Silver Medal,Amber Jo RUTTER,GBR,W,Shooting,Skeet Women,ATH,/en/paris-2024/results/shooting/skeet-women/fnl-000100--
9,04-08-2024,Bronze Medal,Austen Jewell SMITH,USA,W,Shooting,Skeet Women,ATH,/en/paris-2024/results/shooting/skeet-women/fnl-000100--
9,04-08-2024,Gold Medal,Bobby FINKE,USA,M,Swimming,Men's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-1500m-freestyle/fnl-000100--
9,04-08-2024,Silver Medal,Gregorio PALTRINIERI,ITA,M,Swimming,Men's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-1500m-freestyle/fnl-000100--
9,04-08-2024,Bronze Medal,Daniel WIFFEN,IRL,M,Swimming,Men's 1500m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-1500m-freestyle/fnl-000100--
9,04-08-2024,Gold Medal,China,CHN,M,Swimming,Men's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--
9,04-08-2024,Silver Medal,United States,USA,M,Swimming,Men's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--
9,04-08-2024,Bronze Medal,France,FRA,M,Swimming,Men's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/men-s-4-x-100m-medley-relay/fnl-000100--
9,04-08-2024,Gold Medal,United States,USA,W,Swimming,Women's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--
9,04-08-2024,Silver Medal,Australia,AUS,W,Swimming,Women's 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/women-s-4-x-100m-medley-relay/fnl-000100--
