medal_date,medal_type,medal_code,name,country_code,gender,discipline,event,event_type,url_event
2024-08-10,Gold Medal,1,United States,USA,M,Basketball,Men,HTEAM,/en/paris-2024/results/basketball/men/fnl-000100--
2024-08-10,Silver Medal,2,France,FRA,M,Basketball,Men,HTEAM,/en/paris-2024/results/basketball/men/fnl-000100--
2024-08-10,Bronze Medal,3,Serbia,SRB,M,Basketball,Men,HTEAM,/en/paris-2024/results/basketball/men/fnl-000200--
2024-08-10,Gold Medal,1,AHMAN/HELLVIG,SWE,M,Beach Volleyball,Men,HTEAM,/en/paris-2024/results/beach-volleyball/men/fnl-000100--
2024-08-10,Silver Medal,2,EHLERS/WICKLER,GER,M,Beach Volleyball,Men,HTEAM,/en/paris-2024/results/beach-volleyball/men/fnl-000100--
2024-08-10,Bronze Medal,3,MOL/SORUM,NOR,M,Beach Volleyball,Men,HTEAM,/en/paris-2024/results/beach-volleyball/men/fnl-000200--
2024-08-10,Gold Medal,1,Bakhodir JALOLOV,UZB,M,Boxing,Men's +92kg,HATH,/en/paris-2024/results/boxing/men-s--plus-92kg/fnl-000100--
2024-08-10,Silver Medal,2,Ayoub GHADFA DRISSI EL AISSAOUI,ESP,M,Boxing,Men's +92kg,HATH,/en/paris-2024/results/boxing/men-s--plus-92kg/fnl-000100--
2024-08-10,Gold Medal,1,Abdumalik KHALOKOV,UZB,M,Boxing,Men's 57kg,HATH,/en/paris-2024/results/boxing/men-s-57kg/fnl-000100--
2024-08-10,Silver Medal,2,Munarbek SEIITBEK UULU,KGZ,M,Boxing,Men's 57kg,HATH,/en/paris-2024/results/boxing/men-s-57kg/fnl-000100--
2024-08-10,Gold Medal,1,LIN Yu Ting,TPE,W,Boxing,Women's 57kg,HATH,/en/paris-2024/results/boxing/women-s-57kg/fnl-000100--
2024-08-10,Silver Medal,2,Julia SZEREMETA,POL,W,Boxing,Women's 57kg,HATH,/en/paris-2024/results/boxing/women-s-57kg/fnl-000100--
2024-08-10,Gold Medal,1,LI Qian,CHN,W,Boxing,Women's 75kg,HATH,/en/paris-2024/results/boxing/women-s-75kg/fnl-000100--
2024-08-10,Silver Medal,2,Atheyna Bibeichi BYLON,PAN,W,Boxing,Women's 75kg,HATH,/en/paris-2024/results/boxing/women-s-75kg/fnl-000100--
2024-08-10,Gold Medal,1,PHIL WIZARD,CAN,M,Breaking,B-Boys,HATH,/en/paris-2024/results/breaking/b-boys/fnl-000100--
2024-08-10,Silver Medal,2,DANY DANN,FRA,M,Breaking,B-Boys,HATH,/en/paris-2024/results/breaking/b-boys/fnl-000100--
2024-08-10,Bronze Medal,3,VICTOR,USA,M,Breaking,B-Boys,HATH,/en/paris-2024/results/breaking/b-boys/fnl-000200--
2024-08-10,Gold Medal,1,Josef DOSTAL,CZE,M,Canoe Sprint,Men's Kayak Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------
2024-08-10,Silver Medal,2,Adam VARGA,HUN,M,Canoe Sprint,Men's Kayak Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------
2024-08-10,Bronze Medal,3,Balint KOPASZ,HUN,M,Canoe Sprint,Men's Kayak Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------
2024-08-10,Gold Medal,1,Katie VINCENT,CAN,W,Canoe Sprint,Women's Canoe Single 200m,ATH,/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------
2024-08-10,Silver Medal,2,Nevin HARRISON,USA,W,Canoe Sprint,Women's Canoe Single 200m,ATH,/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------
2024-08-10,Bronze Medal,3,Yarisleidis CIRILO DUBOYS,CUB,W,Canoe Sprint,Women's Canoe Single 200m,ATH,/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------
2024-08-10,Gold Medal,1,Lisa CARRINGTON,NZL,W,Canoe Sprint,Women's Kayak Single 500m,ATH,/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------
2024-08-10,Silver Medal,2,Tamara CSIPES,HUN,W,Canoe Sprint,Women's Kayak Single 500m,ATH,/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------
2024-08-10,Bronze Medal,3,Emma Aastrand JORGENSEN,DEN,W,Canoe Sprint,Women's Kayak Single 500m,ATH,/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------
2024-08-10,Gold Medal,1,Portugal,POR,M,Cycling Track,Men's Madison,TEAM,/en/paris-2024/results/cycling-track/men-s-madison/fnl-000100--
2024-08-10,Silver Medal,2,Italy,ITA,M,Cycling Track,Men's Madison,TEAM,/en/paris-2024/results/cycling-track/men-s-madison/fnl-000100--
2024-08-10,Bronze Medal,3,Denmark,DEN,M,Cycling Track,Men's Madison,TEAM,/en/paris-2024/results/cycling-track/men-s-madison/fnl-000100--
2024-08-10,Gold Medal,1,CAO Yuan,CHN,M,Diving,Men's 10m Platform,ATH,/en/paris-2024/results/diving/men-s-10m-platform/fnl-000100--
2024-08-10,Silver Medal,2,TAMAI Rikuto,JPN,M,Diving,Men's 10m Platform,ATH,/en/paris-2024/results/diving/men-s-10m-platform/fnl-000100--
2024-08-10,Bronze Medal,3,Noah WILLIAMS,GBR,M,Diving,Men's 10m Platform,ATH,/en/paris-2024/results/diving/men-s-10m-platform/fnl-000100--
2024-08-10,Gold Medal,1,United States,USA,W,Football,Women,HTEAM,/en/paris-2024/results/football/women/fnl-000100--
2024-08-10,Silver Medal,2,Brazil,BRA,W,Football,Women,HTEAM,/en/paris-2024/results/football/women/fnl-000100--
2024-08-10,Gold Medal,1,Lydia KO,NZL,W,Golf,Women's Individual Stroke Play,ATH,/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------
2024-08-10,Silver Medal,2,Esther HENSELEIT,GER,W,Golf,Women's Individual Stroke Play,ATH,/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------
2024-08-10,Bronze Medal,3,LIN Xiyu Janet,CHN,W,Golf,Women's Individual Stroke Play,ATH,/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------
2024-08-10,Gold Medal,1,Norway,NOR,W,Handball,Women,HTEAM,/en/paris-2024/results/handball/women/fnl-000100--
2024-08-10,Silver Medal,2,France,FRA,W,Handball,Women,HTEAM,/en/paris-2024/results/handball/women/fnl-000100--
2024-08-10,Bronze Medal,3,Denmark,DEN,W,Handball,Women,HTEAM,/en/paris-2024/results/handball/women/fnl-000200--
2024-08-10,Gold Medal,1,Ahmed ELGENDY,EGY,M,Modern Pentathlon,Men's Individual,ATH,/en/paris-2024/results/modern-pentathlon/men-s-individual/fnl-0001lr--
2024-08-10,Silver Medal,2,SATO Taishu,JPN,M,Modern Pentathlon,Men's Individual,ATH,/en/paris-2024/results/modern-pentathlon/men-s-individual/fnl-0001lr--
